2026-06-09 10:39:29 | INFO | src.visualisation | Displaying correct predictions
2026-06-09 10:39:41 | INFO | src.visualisation | Displaying errors
2026-06-09 10:43:43 | INFO | __main__ | Application started
2026-06-09 10:43:50 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 10:43:52 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 10:43:52 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 10:43:53 | INFO | src.data | Normalization completed
2026-06-09 10:43:53 | INFO | src.evaluate | Evaluation started
2026-06-09 10:43:53 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 10:43:55 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 10:43:55 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 10:43:55 | INFO | src.data | Normalization completed
2026-06-09 10:43:57 | INFO | src.evaluate | Classification report generated
2026-06-09 10:43:57 | INFO | src.evaluate | Evaluation completed
2026-06-09 10:43:57 | INFO | src.predict | Loading model from models/cifar10_cnn.keras
2026-06-09 10:43:57 | INFO | src.predict | Model loaded successfully
2026-06-09 10:43:58 | INFO | src.predict | Loading image: inputs/sample_image.png
2026-06-09 10:43:58 | INFO | src.predict | Running prediction
2026-06-09 10:43:58 | INFO | src.predict | Prediction=cat, Confidence=0.2906
2026-06-09 10:43:58 | INFO | src.visualisation | Displaying sample images
2026-06-09 10:46:37 | INFO | __main__ | Application started
2026-06-09 10:46:43 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 10:46:45 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 10:46:45 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 10:46:45 | INFO | src.data | Normalization completed
2026-06-09 10:46:46 | INFO | src.evaluate | Evaluation started
2026-06-09 11:11:06 | INFO | __main__ | Application started
2026-06-09 11:11:17 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 11:11:18 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 11:11:18 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 11:11:20 | INFO | src.data | Normalization completed
2026-06-09 11:11:20 | INFO | src.evaluate | Evaluation started
2026-06-09 11:11:24 | INFO | src.evaluate | Classification report generated
2026-06-09 11:11:24 | INFO | src.evaluate | Evaluation completed
2026-06-09 11:11:24 | INFO | src.predict | Loading model from models/cifar10_cnn.keras
2026-06-09 11:11:24 | INFO | src.predict | Model loaded successfully
2026-06-09 11:11:25 | INFO | src.predict | Loading image: inputs/sample_image.png
2026-06-09 11:11:25 | INFO | src.predict | Running prediction
2026-06-09 11:14:54 | INFO | __main__ | Application started
2026-06-09 11:15:00 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 11:15:02 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 11:15:02 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 11:15:03 | INFO | src.data | Normalization completed
2026-06-09 11:15:03 | INFO | src.evaluate | Evaluation started
2026-06-09 11:15:05 | INFO | src.evaluate | Classification report generated
2026-06-09 11:15:05 | INFO | src.evaluate | Evaluation completed
2026-06-09 11:15:05 | INFO | src.predict | Loading model from models/cifar10_cnn.keras
2026-06-09 11:15:05 | INFO | src.predict | Model loaded successfully
2026-06-09 11:15:06 | INFO | src.predict | Loading image: inputs/sample_image.jpg
2026-06-09 11:15:06 | INFO | src.predict | Running prediction
2026-06-09 11:15:06 | INFO | src.predict | Prediction=automobile, Confidence=0.9999
2026-06-09 11:15:06 | INFO | src.visualisation | Displaying sample images
2026-06-09 11:15:13 | INFO | src.visualisation | Displaying correct predictions
2026-06-09 11:15:36 | INFO | src.visualisation | Displaying errors
2026-06-09 12:24:02 | INFO | __main__ | Application started
2026-06-09 12:24:19 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 12:24:21 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 12:24:21 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 12:24:22 | INFO | src.data | Normalization completed
2026-06-09 12:24:22 | INFO | src.evaluate | Evaluation started
2026-06-09 12:24:24 | INFO | src.evaluate | Classification report generated
2026-06-09 12:24:24 | INFO | src.evaluate | Confusion matrix generated
2026-06-09 12:24:44 | INFO | src.evaluate | Evaluation completed
2026-06-09 12:24:44 | INFO | src.predict | Loading model from models/cifar10_cnn.keras
2026-06-09 12:24:44 | INFO | src.predict | Model loaded successfully
2026-06-09 12:24:46 | INFO | src.predict | Loading image: inputs/sample_image.jpg
2026-06-09 12:24:46 | INFO | src.predict | Running prediction
2026-06-09 12:24:46 | INFO | src.predict | Prediction=automobile, Confidence=0.9999
2026-06-09 12:24:46 | INFO | src.visualisation | Displaying sample images
2026-06-09 12:24:50 | INFO | src.visualisation | Displaying correct predictions
2026-06-09 12:31:46 | INFO | src.visualisation | Displaying errors
2026-06-09 12:32:41 | INFO | __main__ | Application started
2026-06-09 12:32:50 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 12:32:52 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 12:32:52 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 12:32:53 | INFO | src.data | Normalization completed
2026-06-09 12:32:53 | INFO | src.evaluate | Evaluation started
2026-06-09 12:32:56 | INFO | src.evaluate | Classification report generated
2026-06-09 12:32:56 | INFO | src.evaluate | Confusion matrix generated
2026-06-09 12:33:02 | INFO | src.evaluate | Evaluation completed
2026-06-09 12:33:02 | INFO | src.train | Training pipeline started
2026-06-09 12:33:02 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 12:33:04 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 12:33:04 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 12:33:05 | INFO | src.data | Normalization completed
2026-06-09 12:33:05 | INFO | src.model | Building CNN model
2026-06-09 12:33:06 | INFO | src.model | Model architecture created
2026-06-09 12:33:06 | INFO | src.train | Model compilation complete
2026-06-09 12:33:06 | INFO | src.train | Training started
2026-06-09 12:39:11 | INFO | src.train | Model saved successfully
2026-06-09 12:39:11 | INFO | src.predict | Loading model from models/cifar10_cnn.keras
2026-06-09 12:39:11 | INFO | src.predict | Model loaded successfully
2026-06-09 12:39:14 | INFO | src.predict | Loading image: inputs/sample_image.jpg
2026-06-09 12:39:14 | INFO | src.predict | Running prediction
2026-06-09 12:39:14 | INFO | src.predict | Prediction=automobile, Confidence=1.0000
2026-06-09 12:39:14 | INFO | src.visualisation | Displaying sample images
2026-06-09 12:39:28 | INFO | src.visualisation | Displaying correct predictions
2026-06-09 12:39:33 | INFO | src.visualisation | Displaying errors
2026-06-09 12:39:39 | INFO | src.visualisation | Plotting training history
2026-06-09 12:39:58 | INFO | src.visualisation | Plotting accuracy and loss
2026-06-09 12:40:11 | INFO | src.error | Error analysis started
2026-06-09 12:40:11 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 12:40:14 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 12:40:14 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 12:40:15 | INFO | src.data | Normalization completed
2026-06-09 12:40:17 | INFO | src.error | Misclassified images: 2993
2026-06-09 12:40:33 | INFO | src.error | Error visualization completed
2026-06-09 12:40:33 | INFO | __main__ | Application finished
2026-06-09 13:19:31 | INFO | __main__ | Application started
2026-06-09 13:19:31 | INFO | src.data | Loading CIFAR-10 dataset
2026-06-09 13:19:33 | INFO | src.data | Train shape: (50000, 32, 32, 3)
2026-06-09 13:19:33 | INFO | src.data | Test shape: (10000, 32, 32, 3)
2026-06-09 13:19:34 | INFO | src.data | Normalization completed
2026-06-09 13:19:34 | INFO | src.evaluate | Evaluation started
2026-06-09 13:19:37 | INFO | src.evaluate | Classification report generated
2026-06-09 13:19:37 | INFO | src.evaluate | Confusion matrix generated
2026-06-09 13:19:38 | INFO | src.evaluate | Evaluation completed
2026-06-09 13:19:38 | INFO | src.predict | Loading model from models/cifar10_cnn.keras
2026-06-09 13:19:38 | INFO | src.predict | Model loaded successfully
2026-06-09 13:19:39 | INFO | src.predict | Loading image: inputs/sample_image.jpg
2026-06-09 13:19:39 | INFO | src.predict | Running prediction
2026-06-09 13:19:39 | INFO | src.predict | Prediction=automobile, Confidence=1.0000
2026-06-09 13:19:39 | INFO | src.visualisation | Displaying sample images
2026-06-09 13:20:10 | INFO | src.visualisation | Displaying correct predictions
2026-06-09 13:20:17 | INFO | src.visualisation | Displaying errors
2026-06-09 13:20:20 | INFO | src.visualisation | Plotting training history
